transaksie_id,datum,winkel_naam,klient_id,produk_kategorie,produk,verkoopsprys,kosprys,hoeveelheid,verkoopsprys_genormaliseer,kosprys_genormaliseer,hoeveelheid_gestandaardiseer,totale_inkomste,log_totale_inkomste,tipe_Bed,tipe_Droër,tipe_Eetstel,tipe_Kas,tipe_Lessenaar,tipe_Mikrogolf,tipe_Stoof,tipe_Wasmajien,tipe_Yskas,jaar,maand,kwartaal,dag_van_week
T00001,2024-09-15,Stellenbosch,K0153,Meubels,Kas,6745.07,4374.17,1,0.25484941867941874,0.22972346434767824,-0.41235172950813637,6745.07,8.816715392087179,False,False,False,True,False,False,False,False,False,2024,9,3,6
T00002,2025-10-25,Paarl,K0073,Meubels,Bank,11654.34,8209.16,1,0.4886765133148848,0.48445815432113526,-0.41235172950813637,11654.34,9.363519723073534,False,False,False,False,False,False,False,False,False,2025,10,4,5
T00003,2025-10-08,Stellenbosch,K0161,Meubels,Bed,7531.69,5468.08,1,0.29231589927269436,0.30238514657080384,-0.41235172950813637,7531.69,8.927007494715543,True,False,False,False,False,False,False,False,False,2025,10,4,2
T00004,2025-01-19,Paarl,K0039,Meubels,Lessenaar,4265.86,2809.87,1,0.13676537129738559,0.12581668088136438,-0.41235172950813637,4265.86,8.358633472713018,False,False,False,False,True,False,False,False,False,2025,1,1,6
T00005,2025-03-30,Stellenbosch,K0079,Meubels,Eetstel,19737.64,13822.03,1,0.8736817287678671,0.8572864274877714,-0.41235172950813637,19737.64,9.890333414970694,False,False,True,False,False,False,False,False,False,2025,3,1,6
T00006,2025-04-22,Paarl,K0180,Meubels,Kas,7151.15,4764.12,1,0.2741908903421242,0.2556254334154332,-0.41235172950813637,7151.15,8.875168289787778,False,False,False,True,False,False,False,False,False,2025,4,2,1
T00007,2025-08-17,Paarl,K0011,Toestelle,Mikrogolf,2265.26,1615.77,1,0.041477378270374815,0.04649999601457072,-0.41235172950813637,2265.26,7.725886174635167,False,False,False,False,False,True,False,False,False,2025,8,3,6
T00008,2025-09-16,Worcester,K0024,Toestelle,Droër,7151.07,5128.09,1,0.2741870799655161,0.2798017116090241,-0.41235172950813637,7151.07,8.87515710427749,False,True,False,False,False,False,False,False,False,2025,9,3,1
T00009,2025-02-20,Worcester,K0196,Meubels,Bed,8483.92,5768.6,1,0.3376703357418089,0.3223468333107492,-0.41235172950813637,8483.92,9.046045749220815,True,False,False,False,False,False,False,False,False,2025,2,1,3
T00010,2024-12-27,Paarl,K0150,Toestelle,Stoof,5056.1,3427.0,1,0.1744042714321777,0.16680881364398426,-0.41235172950813637,5056.1,8.528548475454372,False,False,False,False,False,False,True,False,False,2024,12,4,4
T00011,2025-09-20,Worcester,K0105,Toestelle,Yskas,6974.34,4971.02,1,0.2657694817411516,0.2693685220168398,-0.41235172950813637,6974.34,8.850136351021256,False,False,False,False,False,False,False,False,True,2025,9,3,5
T00012,2025-06-07,Paarl,K0178,Meubels,Bank,12785.62,8925.94,1,0.5425590489299987,0.5320694208639879,-0.41235172950813637,12785.62,9.456154590687568,False,False,False,False,False,False,False,False,False,2025,6,2,5
T00013,2025-11-20,Paarl,K0023,Toestelle,Droër,8258.78,5981.3,1,0.32694698337246914,0.33647518007497923,-0.41235172950813637,8258.78,9.019153231777755,False,True,False,False,False,False,False,False,False,2025,11,4,3
T00014,2025-05-19,Paarl,K0104,Toestelle,Yskas,8548.45,5884.06,3,0.34074388077331597,0.33001612770378164,3.146503737778303,25645.350000000002,10.15215654027835,False,False,False,False,False,False,False,False,True,2025,5,2,0
T00015,2025-12-09,Stellenbosch,K0133,Toestelle,Mikrogolf,2227.81,1585.77,1,0.03969364572070892,0.044507281379277355,-0.41235172950813637,2227.81,7.709223089734786,False,False,False,False,False,True,False,False,False,2025,12,4,1
T00016,2025-07-06,Worcester,K0053,Toestelle,Mikrogolf,2555.46,1813.98,1,0.0552995194162503,0.059665861609954005,-0.41235172950813637,2555.46,7.846378768006097,False,False,False,False,False,True,False,False,False,2025,7,3,6
T00017,2025-03-31,Worcester,K0179,Meubels,Bed,6798.72,4580.58,1,0.2574047524922245,0.24343400527670836,-0.41235172950813637,6798.72,8.824636713845836,True,False,False,False,False,False,False,False,False,2025,3,1,0
T00018,2025-11-09,Stellenbosch,K0182,Meubels,Lessenaar,4208.31,3007.32,1,0.13402428162493513,0.1389320643726536,-0.41235172950813637,4208.31,8.345054017757159,False,False,False,False,True,False,False,False,False,2025,11,4,6
T00019,2024-12-10,Paarl,K0058,Meubels,Lessenaar,4486.5,3087.02,1,0.1472743899825199,0.1442260429204163,-0.41235172950813637,4486.5,8.409051032796535,False,False,False,False,True,False,False,False,False,2024,12,4,1
T00020,2024-10-25,Paarl,K0184,Meubels,Bank,9355.72,6037.19,1,0.37919391482855686,0.34018760744053067,-0.41235172950813637,9355.72,9.143850080707198,False,False,False,False,False,False,False,False,False,2024,10,4,4
T00022,2025-03-07,Paarl,K0154,Meubels,Kas,4168.73,2836.03,1,0.13213909779807861,0.12755432804334021,-0.41235172950813637,4168.73,8.335606564495153,False,False,False,True,False,False,False,False,False,2025,3,1,4
T00023,2025-12-03,Worcester,K0107,Meubels,Eetstel,11015.44,7681.37,1,0.4582458931284621,0.44940032574241895,-0.41235172950813637,11015.44,9.307143981513521,False,False,True,False,False,False,False,False,False,2025,12,4,2
T00024,2025-06-14,Worcester,K0077,Toestelle,Yskas,9393.72,6404.38,1,0.3810038437174034,0.36457777033830985,-0.41235172950813637,9393.72,9.147903108316697,False,False,False,False,False,False,False,False,True,2025,6,2,5
T00025,2025-11-14,Stellenbosch,K0086,Toestelle,Droër,7386.16,5382.17,1,0.2853843479254881,0.2966786760935354,-0.41235172950813637,7386.16,8.907498636966569,False,True,False,False,False,False,False,False,False,2025,11,4,4
T00026,2025-07-22,Paarl,K0062,Toestelle,Wasmajien,7257.05,5144.0,3,0.27923487637709393,0.2808585146039413,3.146503737778303,21771.15,9.988386909113308,False,False,False,False,False,False,False,True,False,2025,7,3,1
T00027,2025-07-28,Stellenbosch,K0122,Toestelle,Yskas,8768.7,6147.91,1,0.3512343238724858,0.3475420529211868,-0.41235172950813637,8768.7,9.079057877255483,False,False,False,False,False,False,False,False,True,2025,7,3,0
T00028,2025-07-26,Paarl,K0033,Meubels,Kas,5548.34,3916.09,3,0.19784951870180473,0.19929604034317203,3.146503737778303,16645.02,9.719926427795166,False,False,False,True,False,False,False,False,False,2025,7,3,5
T00029,2025-11-27,Worcester,K0113,Toestelle,Yskas,8078.72,5824.64,2,0.3183707782217925,0.32606922424947726,1.3670760041350833,16157.44,9.690197792761852,False,False,False,False,False,False,False,False,True,2025,11,4,3
T00030,2024-10-11,Worcester,K0105,Toestelle,Yskas,11114.24,7334.94,1,0.4629517082394631,0.4263891213722629,-0.41235172950813637,11114.24,9.31607241860783,False,False,False,False,False,False,False,False,True,2024,10,4,4
T00031,2024-12-06,Stellenbosch,K0178,Toestelle,Stoof,9083.35,6235.38,1,0.36622101136921126,0.3533521445594905,-0.41235172950813637,9083.35,9.11430843176547,False,False,False,False,False,False,True,False,False,2024,12,4,4
T00032,2025-08-12,Worcester,K0137,Meubels,Bed,7229.84,4924.1,2,0.2779388720332646,0.266251916327241,1.3670760041350833,14459.68,9.579188520886447,True,False,False,False,False,False,False,False,False,2025,8,3,1
T00033,2025-07-25,Paarl,K0018,Toestelle,Droër,5687.69,5045.4,1,0.2044867184560354,0.2743091258359438,-0.41235172950813637,5687.69,8.646235272142732,False,True,False,False,False,False,False,False,False,2025,7,3,4
T00034,2025-02-26,Worcester,K0112,Toestelle,Wasmajien,7917.51,5262.01,1,0.31069239305939905,0.2886971897409737,-0.41235172950813637,7917.51,8.976958335796425,False,False,False,False,False,False,False,True,False,2025,2,1,2
T00035,2024-10-09,Worcester,K0077,Meubels,Kas,7546.5,4911.38,1,0.2930212952422685,0.26540700532187655,-0.41235172950813637,7546.5,8.928971661580993,False,False,False,True,False,False,False,False,False,2024,10,4,2
T00036,2024-07-30,Stellenbosch,K0096,Toestelle,Yskas,10862.56,7245.74,1,0.45096426343038676,0.42046411652332405,-0.41235172950813637,10862.56,9.293169348241923,False,False,False,False,False,False,False,False,True,2024,7,3,1
T00037,2025-09-15,Stellenbosch,K0175,Meubels,Lessenaar,3660.78,2525.65,1,0.10794558782203637,0.10693770242659503,-0.41235172950813637,3660.78,8.205704646968844,False,False,False,False,True,False,False,False,False,2025,9,3,0
T00038,2025-01-01,Stellenbosch,K0098,Meubels,Eetstel,14072.36,9405.99,1,0.6038460988887989,0.5639561762197406,-0.41235172950813637,14072.36,9.552038927568978,False,False,True,False,False,False,False,False,False,2025,1,1,2
T00039,2025-03-04,Paarl,K0066,Meubels,Bank,10802.06,7439.08,1,0.44808266612051273,0.433306498109578,-0.41235172950813637,10802.06,9.287584706314336,False,False,False,False,False,False,False,False,False,2025,3,1,1
T00040,2025-10-14,Paarl,K0174,Meubels,Kas,5721.51,4092.75,2,0.20609755516710887,0.2110304725922029,1.3670760041350833,11443.02,9.345222601809159,False,False,False,True,False,False,False,False,False,2025,10,4,1
T00041,2024-12-09,Stellenbosch,K0077,Toestelle,Stoof,9962.55,6515.07,3,0.4080970502922082,0.37193022310433055,3.146503737778303,29887.649999999998,10.30523408865076,False,False,False,False,False,False,True,False,False,2024,12,4,0
T00042,2025-09-08,Worcester,K0051,Toestelle,Mikrogolf,3178.12,2242.34,1,0.08495663315122909,0.08811916964909625,-0.41235172950813637,3178.12,8.064359707917784,False,False,False,False,False,True,False,False,False,2025,9,3,0
T00043,2025-07-29,Paarl,K0092,Meubels,Bank,12904.09,8855.24,1,0.5482017403895157,0.5273732567068131,-0.41235172950813637,12904.09,9.465377086169465,False,False,False,False,False,False,False,False,False,2025,7,3,1
T00044,2025-04-29,Worcester,K0169,Toestelle,Yskas,7709.76,5262.29,3,0.3007973213052445,0.28871578841090306,3.146503737778303,23129.28,10.048897860642919,False,False,False,False,False,False,False,False,True,2025,4,2,1
T00045,2025-08-10,Paarl,K0200,Meubels,Lessenaar,4464.17,3123.34,2,0.14621081861178456,0.1466385561055448,1.3670760041350833,8928.34,9.09709776296451,False,False,False,False,True,False,False,False,False,2025,8,3,6
T00046,2024-08-20,Worcester,K0059,Toestelle,Stoof,11316.36,7432.44,1,0.4725786247398228,0.43286544393696635,-0.41235172950813637,11316.36,9.334093109010496,False,False,False,False,False,False,True,False,False,2024,8,3,1
T00047,2025-06-26,Stellenbosch,K0194,Meubels,Lessenaar,4587.05,3211.87,1,0.1520635570818231,0.15251905699429552,-0.41235172950813637,4587.05,8.431210376184648,False,False,False,False,True,False,False,False,False,2025,6,2,3
T00048,2024-11-18,Worcester,K0113,Meubels,Eetstel,14102.98,9381.48,1,0.6053045205355484,0.5623281283627058,-0.41235172950813637,14102.98,9.554212306039265,False,False,True,False,False,False,False,False,False,2024,11,4,0
T00049,2024-08-04,Worcester,K0076,Toestelle,Wasmajien,6670.49,4385.67,1,0.2512971950865194,0.23048733829120735,-0.41235172950813637,6670.49,8.805598502268063,False,False,False,False,False,False,False,True,False,2024,8,3,6
T00050,2025-05-31,Worcester,K0139,Toestelle,Wasmajien,7535.67,5114.21,1,0.29250546550894724,0.278879748971095,-0.41235172950813637,7535.67,8.927535718885984,False,False,False,False,False,False,False,True,False,2025,5,2,5
T00051,2025-07-10,Worcester,K0124,Toestelle,Wasmajien,5787.26,3932.32,1,0.2092292084418894,0.20037409896086575,-0.41235172950813637,5787.26,8.663587007267703,False,False,False,False,False,False,False,True,False,2025,7,3,3
T00052,2025-04-29,Worcester,K0020,Toestelle,Yskas,7996.49,5379.04,1,0.31445418736574376,0.29647076953325313,-0.41235172950813637,7996.49,8.986883021432144,False,False,False,False,False,False,False,False,True,2025,4,2,1
T00053,2024-11-22,Stellenbosch,K0102,Toestelle,Droër,7598.48,4964.91,1,0.29549708744338016,0.2689626724694517,-0.41235172950813637,7598.48,8.935835102880963,False,True,False,False,False,False,False,False,False,2024,11,4,4
T00054,2024-07-15,Paarl,K0192,Meubels,Kas,6493.13,4301.94,1,0.2428495901463661,0.22492567174410352,-0.41235172950813637,6493.13,8.77865397094102,False,False,False,True,False,False,False,False,False,2024,7,3,0
T00055,2025-03-26,Worcester,K0060,Toestelle,Stoof,8674.74,5801.78,1,0.34675903654627466,0.32455077569738366,-0.41235172950813637,8674.74,9.068285903770661,False,False,False,False,False,False,True,False,False,2025,3,1,2
T00056,2025-10-26,Stellenbosch,K0017,Toestelle,Droër,7662.37,5045.4,1,0.29854014946202245,0.2743091258359438,-0.41235172950813637,7662.37,8.944207113766666,False,True,False,False,False,False,False,False,False,2025,10,4,6
T00057,2025-10-19,Worcester,K0012,Toestelle,Mikrogolf,2148.97,1545.58,1,0.035938519573428335,0.041837708006196,-0.41235172950813637,2148.97,7.673209167535985,False,False,False,False,False,True,False,False,False,2025,10,4,6
T00058,2024-08-08,Paarl,K0138,Toestelle,Yskas,8344.68,5480.82,1,0.33103837525541435,0.3032313860525917,-0.41235172950813637,8344.68,9.029499318695851,False,False,False,False,False,False,False,False,True,2024,8,3,3
T00059,2024-11-16,Paarl,K0191,Toestelle,Stoof,9033.02,6190.12,1,0.3638238081856416,0.3503458024130446,-0.41235172950813637,9033.02,9.108752730070854,False,False,False,False,False,False,True,False,False,2024,11,4,5
T00060,2025-09-03,Worcester,K0126,Meubels,Kas,6391.58,4499.77,1,0.23801279333946168,0.23806629628743983,-0.41235172950813637,6391.58,8.762893221752657,False,False,False,True,False,False,False,False,False,2025,9,3,2
T00061,2025-08-22,Paarl,K0114,Meubels,Bed,5169.26,3699.95,1,0.1797940491443323,0.18493919563409505,-0.41235172950813637,5169.26,8.550678256373365,True,False,False,False,False,False,False,False,False,2025,8,3,4
T00062,2025-02-27,Paarl,K0166,Meubels,Bed,7158.71,4894.54,1,0.2745509709315895,0.26428842817326514,-0.41235172950813637,7158.71,8.876224756341134,True,False,False,False,False,False,False,False,False,2025,2,1,3
T00063,2025-07-03,Stellenbosch,K0032,Toestelle,Stoof,8209.69,5713.24,1,0.324608841026325,0.3186696105704212,-0.41235172950813637,8209.69,9.013192242763953,False,False,False,False,False,False,True,False,False,2025,7,3,3
T00064,2025-10-09,Stellenbosch,K0013,Meubels,Lessenaar,4904.05,3433.88,3,0.16716217439141143,0.1672658095336782,3.146503737778303,14712.150000000001,9.596496930711567,False,False,False,False,True,False,False,False,False,2025,10,4,3
T00065,2025-06-07,Stellenbosch,K0196,Meubels,Lessenaar,4757.55,3207.92,1,0.16018442222783197,0.15225668290064856,-0.41235172950813637,4757.55,8.467698278970067,False,False,False,False,True,False,False,False,False,2025,6,2,5
T00066,2025-01-29,Worcester,K0038,Meubels,Bank,11813.89,8071.98,1,0.4962758331626602,0.47534613453215036,-0.41235172950813637,11813.89,9.377115879378769,False,False,False,False,False,False,False,False,False,2025,1,1,2
T00067,2024-07-03,Paarl,K0045,Meubels,Bank,7203.07,4743.99,1,0.2766638247607798,0.25428832189515127,-0.41235172950813637,7203.07,8.882401423072626,False,False,False,False,False,False,False,False,False,2024,7,3,2
T00068,2024-10-21,Worcester,K0061,Meubels,Bank,11933.72,8117.21,1,0.501983301024515,0.47835048396396107,-0.41235172950813637,11933.72,9.387207078087174,False,False,False,False,False,False,False,False,False,2024,10,4,0
T00069,2025-05-28,Stellenbosch,K0190,Meubels,Bed,8120.46,5739.78,1,0.3203588422170676,0.320432498784444,-0.41235172950813637,8120.46,9.002265219948775,True,False,False,False,False,False,False,False,False,2025,5,2,2
T00070,2025-09-05,Worcester,K0200,Meubels,Eetstel,22389.73,15970.56,1,1.0,1.0,-0.41235172950813637,22389.73,10.016402312902308,False,False,True,False,False,False,False,False,False,2025,9,3,4
T00071,2025-07-06,Worcester,K0158,Meubels,Kas,5711.46,4060.11,1,0.20561887660571654,0.2088623990690037,-0.41235172950813637,5711.46,8.650405032989761,False,False,False,True,False,False,False,False,False,2025,7,3,6
T00072,2024-08-14,Worcester,K0008,Toestelle,Mikrogolf,2650.77,1734.43,1,0.05983910684772306,0.05438184663536777,-0.41235172950813637,2650.77,7.882982620546258,False,False,False,False,False,True,False,False,False,2024,8,3,2
T00073,2024-09-01,Paarl,K0126,Toestelle,Mikrogolf,3071.41,2052.54,1,0.07987406705310235,0.07551192838980686,-0.41235172950813637,3071.41,8.030217548903764,False,False,False,False,False,True,False,False,False,2024,9,3,6
T00074,2025-09-28,Stellenbosch,K0017,Meubels,Bed,9503.87,6608.19,1,0.3862502560096784,0.37811560933228117,-0.41235172950813637,9503.87,9.1595595778169,True,False,False,False,False,False,False,False,False,2025,9,3,6
T00075,2024-11-07,Paarl,K0136,Toestelle,Mikrogolf,3201.4,2113.61,3,0.08606545274418562,0.0795684311490524,3.146503737778303,9604.2,9.17005989747416,False,False,False,False,False,True,False,False,False,2024,11,4,3
T00076,2025-04-28,Paarl,K0030,Toestelle,Yskas,6196.3,4235.6,1,0.2287116640390945,0.2205191154472582,-0.41235172950813637,6196.3,8.731868992311576,False,False,False,False,False,False,False,False,True,2025,4,2,0
T00077,2025-02-06,Paarl,K0117,Toestelle,Wasmajien,5514.2,3835.63,1,0.19622344048429885,0.19395157969131524,-0.41235172950813637,5514.2,8.615263195762601,False,False,False,False,False,False,False,True,False,2025,2,1,3
T00078,2025-08-13,Paarl,K0171,Meubels,Bed,6867.4,4786.03,1,0.26067596081027655,0.257080779337409,-0.41235172950813637,6867.4,8.834686461439647,True,False,False,False,False,False,False,False,False,2025,8,3,2
T00079,2025-03-19,Paarl,K0022,Meubels,Kas,3674.0,2481.07,1,0.10857525255652456,0.1039765284785491,-0.41235172950813637,3674.0,8.209308411646937,False,False,False,True,False,False,False,False,False,2025,3,1,2
T00080,2024-10-04,Paarl,K0143,Meubels,Bed,8137.13,5490.05,1,0.32115282944278006,0.30384447792205027,-0.41235172950813637,8137.13,9.00431570287494,True,False,False,False,False,False,False,False,False,2024,10,4,4
T00081,2024-08-31,Worcester,K0171,Toestelle,Yskas,7161.15,4557.5,1,0.27466718741813645,0.241900943483956,-0.41235172950813637,7161.15,8.876565494209485,False,False,False,False,False,False,False,False,True,2024,8,3,5
T00082,2025-09-07,Worcester,K0091,Meubels,Bed,11099.87,7980.18,1,0.4622672693412335,0.4692484277481527,-0.41235172950813637,11099.87,9.314778762607379,True,False,False,False,False,False,False,False,False,2025,9,3,6
T00083,2024-10-15,Worcester,K0058,Meubels,Bank,10041.87,6473.78,1,0.4118750386991375,0.3691875835279551,-0.41235172950813637,10041.87,9.21461820897022,False,False,False,False,False,False,False,False,False,2024,10,4,1
T00084,2024-10-19,Paarl,K0147,Toestelle,Yskas,8355.88,5402.69,1,0.331571827980548,0.298041692904076,-0.41235172950813637,8355.88,9.030840430678525,False,False,False,False,False,False,False,False,True,2024,10,4,5
T00085,2025-02-17,Paarl,K0178,Meubels,Lessenaar,5313.52,3531.01,2,0.18666511076288506,0.17371755528454638,1.3670760041350833,10627.04,9.271251070515829,False,False,False,False,True,False,False,False,False,2025,2,1,0
T00086,2025-03-31,Stellenbosch,K0080,Meubels,Bed,5538.27,3759.95,1,0.1973698875462604,0.1889246249046818,-0.41235172950813637,5538.27,8.61961800210597,True,False,False,False,False,False,False,False,False,2025,3,1,0
T00087,2025-06-13,Paarl,K0145,Meubels,Bank,7981.29,5659.16,2,0.31373021581020516,0.31507741032119896,1.3670760041350833,15962.58,9.678065156626841,False,False,False,False,False,False,False,False,False,2025,6,2,4
T00088,2025-08-15,Stellenbosch,K0136,Meubels,Eetstel,15553.9,10649.24,1,0.6744114158883179,0.6465375918973565,-0.41235172950813637,15553.9,9.652130980510044,False,False,True,False,False,False,False,False,False,2025,8,3,4
T00089,2025-02-06,Paarl,K0095,Toestelle,Mikrogolf,2629.94,1797.99,1,0.05884698003838956,0.05860374470934264,-0.41235172950813637,2629.94,7.875096475763151,False,False,False,False,False,True,False,False,False,2025,2,1,3
T00090,2025-05-16,Worcester,K0014,Toestelle,Droër,7438.19,5168.95,1,0.28786252161197984,0.28251578894229357,-0.41235172950813637,7438.19,8.914517250932521,False,True,False,False,False,False,False,False,False,2025,5,2,4
T00091,2024-12-07,Stellenbosch,K0170,Meubels,Eetstel,16565.82,10833.4,1,0.7226088696041495,0.6587702028052107,-0.41235172950813637,16565.82,9.715157178906978,False,False,True,False,False,False,False,False,False,2024,12,4,5
T00092,2025-09-08,Paarl,K0194,Toestelle,Mikrogolf,2648.49,1836.07,1,0.05973051111439226,0.06113316381974168,-0.41235172950813637,2648.49,7.882122447628657,False,False,False,False,False,True,False,False,False,2025,9,3,0
T00093,2025-12-07,Stellenbosch,K0174,Toestelle,Mikrogolf,2159.99,1576.03,1,0.036463398951193826,0.04386031336101878,-0.41235172950813637,2159.99,7.678321729008904,False,False,False,False,False,True,False,False,False,2025,12,4,6
T00094,2025-11-11,Worcester,K0154,Toestelle,Yskas,9464.51,6589.95,1,0.38437555071849416,0.3769040388340228,-0.41235172950813637,9464.51,9.155409944917633,False,False,False,False,False,False,False,False,True,2025,11,4,1
T00095,2024-08-26,Stellenbosch,K0197,Meubels,Bed,8586.14,5784.37,2,0.3425390444528061,0.32339433697070175,1.3670760041350833,17172.28,9.75110996651524,True,False,False,False,False,False,False,False,False,2024,8,3,0
T00096,2024-11-18,Paarl,K0128,Toestelle,Stoof,7214.17,4899.31,1,0.2771925145151534,0.2646052698002769,-0.41235172950813637,7214.17,8.883941032953953,False,False,False,False,False,False,True,False,False,2024,11,4,0
T00097,2025-09-14,Stellenbosch,K0059,Meubels,Kas,8798.66,6144.69,1,0.35266130991221845,0.34732816821699863,-0.41235172950813637,8798.66,9.082468363356258,False,False,False,True,False,False,False,False,False,2025,9,3,6
T00098,2025-11-25,Worcester,K0190,Toestelle,Yskas,9947.67,7194.66,1,0.40738832024310206,0.4170711877376312,-0.41235172950813637,9947.67,9.20519415287652,False,False,False,False,False,False,False,False,True,2025,11,4,1
T00099,2024-08-13,Paarl,K0081,Meubels,Kas,4537.98,2999.03,2,0.14972636732983094,0.13838141089510086,1.3670760041350833,9075.96,9.113494613774602,False,False,False,True,False,False,False,False,False,2024,8,3,1
T00100,2025-09-13,Worcester,K0104,Toestelle,Mikrogolf,2893.54,2009.81,1,0.07140217096207246,0.07267363851093733,-0.41235172950813637,2893.54,7.970581482736063,False,False,False,False,False,True,False,False,False,2025,9,3,5
T00101,2024-07-22,Paarl,K0177,Meubels,Lessenaar,5463.38,3516.75,1,0.19380289874400464,0.17277035159457024,-0.41235172950813637,5463.38,8.606005944952464,False,False,False,False,True,False,False,False,False,2024,7,3,0
T00102,2025-07-06,Stellenbosch,K0151,Toestelle,Yskas,9825.56,6818.29,1,0.4015722566479164,0.3920712541614524,-0.41235172950813637,9825.56,9.192844202759424,False,False,False,False,False,False,False,False,True,2025,7,3,6
T00103,2025-08-15,Worcester,K0191,Meubels,Kas,5631.92,3998.37,2,0.2018304096631151,0.20476139234956994,1.3670760041350833,11263.84,9.329441649480968,False,False,False,True,False,False,False,False,False,2025,8,3,4
T00104,2025-06-13,Stellenbosch,K0163,Toestelle,Wasmajien,5869.4,4126.29,1,0.21314151262425401,0.21325832755446086,-0.41235172950813637,5869.4,8.677678053601017,False,False,False,False,False,False,False,True,False,2025,6,2,4
T00105,2024-10-25,Worcester,K0166,Meubels,Bed,7845.8,5068.27,1,0.3072768667273152,0.27582823862624917,-0.41235172950813637,7845.8,8.967861084355231,True,False,False,False,False,False,False,False,False,2024,10,4,4
T00106,2024-11-29,Stellenbosch,K0045,Meubels,Bank,12852.88,8486.89,1,0.545762623063257,0.5029060421764694,-0.41235172950813637,12852.88,9.461400990272281,False,False,False,False,False,False,False,False,False,2024,11,4,4
T00107,2024-12-04,Worcester,K0161,Meubels,Bank,12032.5,8018.08,3,0.506688163541364,0.47176589057074003,3.146503737778303,36097.5,10.494006592211157,False,False,False,False,False,False,False,False,False,2024,12,4,2
T00108,2025-11-18,Paarl,K0160,Toestelle,Droër,8244.24,5874.2,1,0.32625444742394727,0.32936118882698184,-0.41235172950813637,8244.24,9.017391343120691,False,True,False,False,False,False,False,False,False,2025,11,4,1
T00109,2025-05-27,Worcester,K0121,Toestelle,Wasmajien,7938.5,5538.36,1,0.3116921406219487,0.3070534127230844,-0.41235172950813637,7938.5,8.979605579966153,False,False,False,False,False,False,False,True,False,2025,5,2,1
