transaksie_id,datum,winkel_naam,klient_id,produk_kategorie,produk,verkoopsprys,kosprys,hoeveelheid
T00001,2024-09-15,Stellenbosch,K0153,Meubels,Kas,6745.07,4374.17,1
T00002,2025-10-25,Paarl,K0073,Meubels,Bank,11654.34,8209.16,1
T00003,2025-10-08,Stellenbosch,K0161,Meubels,Bed,7531.69,5468.08,1
T00004,2025-01-19,Paarl,K0039,Meubels,Lessenaar,4265.86,2809.87,1
T00005,2025-03-30,Stellenbosch,K0079,Meubels,Eetstel,19737.64,13822.03,1
T00006,2025-04-22,Paarl,K0180,Meubels,Kas,7151.15,4764.12,1
T00007,2025-08-17,Paarl,K0011,Toestelle,Mikrogolf,2265.26,1615.77,1
T00008,2025-09-16,Worcester,K0024,Toestelle,Droër,7151.07,5128.09,1
T00009,2025-02-20,Worcester,K0196,Meubels,Bed,8483.92,5768.6,1
T00010,2024-12-27,Paarl,K0150,Toestelle,Stoof,5056.1,3427.0,1
T00011,2025-09-20,Worcester,K0105,Toestelle,Yskas,6974.34,4971.02,1
T00012,2025-06-07,Paarl,K0178,Meubels,Bank,12785.62,8925.94,1
T00013,2025-11-20,Paarl,K0023,Toestelle,Droër,8258.78,5981.3,1
T00014,2025-05-19,Paarl,K0104,Toestelle,Yskas,8548.45,5884.06,3
T00015,2025-12-09,Stellenbosch,K0133,Toestelle,Mikrogolf,2227.81,1585.77,1
T00016,2025-07-06,Worcester,K0053,Toestelle,Mikrogolf,2555.46,1813.98,1
T00017,2025-03-31,Worcester,K0179,Meubels,Bed,6798.72,4580.58,1
T00018,2025-11-09,Stellenbosch,K0182,Meubels,Lessenaar,4208.31,3007.32,1
T00019,2024-12-10,Paarl,K0058,Meubels,Lessenaar,4486.5,3087.02,1
T00020,2024-10-25,Paarl,K0184,Meubels,Bank,9355.72,6037.19,1
T00022,2025-03-07,Paarl,K0154,Meubels,Kas,4168.73,2836.03,1
T00023,2025-12-03,Worcester,K0107,Meubels,Eetstel,11015.44,7681.37,1
T00024,2025-06-14,Worcester,K0077,Toestelle,Yskas,9393.72,6404.38,1
T00025,2025-11-14,Stellenbosch,K0086,Toestelle,Droër,7386.16,5382.17,1
T00026,2025-07-22,Paarl,K0062,Toestelle,Wasmajien,7257.05,5144.0,3
T00027,2025-07-28,Stellenbosch,K0122,Toestelle,Yskas,8768.7,6147.91,1
T00028,2025-07-26,Paarl,K0033,Meubels,Kas,5548.34,3916.09,3
T00029,2025-11-27,Worcester,K0113,Toestelle,Yskas,8078.72,5824.64,2
T00030,2024-10-11,Worcester,K0105,Toestelle,Yskas,11114.24,7334.94,1
T00031,2024-12-06,Stellenbosch,K0178,Toestelle,Stoof,9083.35,6235.38,1
T00032,2025-08-12,Worcester,K0137,Meubels,Bed,7229.84,4924.1,2
T00033,2025-07-25,Paarl,K0018,Toestelle,Droër,5687.69,5045.4,1
T00034,2025-02-26,Worcester,K0112,Toestelle,Wasmajien,7917.51,5262.01,1
T00035,2024-10-09,Worcester,K0077,Meubels,Kas,7546.5,4911.38,1
T00036,2024-07-30,Stellenbosch,K0096,Toestelle,Yskas,10862.56,7245.74,1
T00037,2025-09-15,Stellenbosch,K0175,Meubels,Lessenaar,3660.78,2525.65,1
T00038,2025-01-01,Stellenbosch,K0098,Meubels,Eetstel,14072.36,9405.99,1
T00039,2025-03-04,Paarl,K0066,Meubels,Bank,10802.06,7439.08,1
T00040,2025-10-14,Paarl,K0174,Meubels,Kas,5721.51,4092.75,2
T00041,2024-12-09,Stellenbosch,K0077,Toestelle,Stoof,9962.55,6515.07,3
T00042,2025-09-08,Worcester,K0051,Toestelle,Mikrogolf,3178.12,2242.34,1
T00043,2025-07-29,Paarl,K0092,Meubels,Bank,12904.09,8855.24,1
T00044,2025-04-29,Worcester,K0169,Toestelle,Yskas,7709.76,5262.29,3
T00045,2025-08-10,Paarl,K0200,Meubels,Lessenaar,4464.17,3123.34,2
T00046,2024-08-20,Worcester,K0059,Toestelle,Stoof,11316.36,7432.44,1
T00047,2025-06-26,Stellenbosch,K0194,Meubels,Lessenaar,4587.05,3211.87,1
T00048,2024-11-18,Worcester,K0113,Meubels,Eetstel,14102.98,9381.48,1
T00049,2024-08-04,Worcester,K0076,Toestelle,Wasmajien,6670.49,4385.67,1
T00050,2025-05-31,Worcester,K0139,Toestelle,Wasmajien,7535.67,5114.21,1
T00051,2025-07-10,Worcester,K0124,Toestelle,Wasmajien,5787.26,3932.32,1
T00052,2025-04-29,Worcester,K0020,Toestelle,Yskas,7996.49,5379.04,1
T00053,2024-11-22,Stellenbosch,K0102,Toestelle,Droër,7598.48,4964.91,1
T00054,2024-07-15,Paarl,K0192,Meubels,Kas,6493.13,4301.94,1
T00055,2025-03-26,Worcester,K0060,Toestelle,Stoof,8674.74,5801.78,1
T00056,2025-10-26,Stellenbosch,K0017,Toestelle,Droër,7662.37,5045.4,1
T00057,2025-10-19,Worcester,K0012,Toestelle,Mikrogolf,2148.97,1545.58,1
T00058,2024-08-08,Paarl,K0138,Toestelle,Yskas,8344.68,5480.82,1
T00059,2024-11-16,Paarl,K0191,Toestelle,Stoof,9033.02,6190.12,1
T00060,2025-09-03,Worcester,K0126,Meubels,Kas,6391.58,4499.77,1
T00061,2025-08-22,Paarl,K0114,Meubels,Bed,5169.26,3699.95,1
T00062,2025-02-27,Paarl,K0166,Meubels,Bed,7158.71,4894.54,1
T00063,2025-07-03,Stellenbosch,K0032,Toestelle,Stoof,8209.69,5713.24,1
T00064,2025-10-09,Stellenbosch,K0013,Meubels,Lessenaar,4904.05,3433.88,3
T00065,2025-06-07,Stellenbosch,K0196,Meubels,Lessenaar,4757.55,3207.92,1
T00066,2025-01-29,Worcester,K0038,Meubels,Bank,11813.89,8071.98,1
T00067,2024-07-03,Paarl,K0045,Meubels,Bank,7203.07,4743.99,1
T00068,2024-10-21,Worcester,K0061,Meubels,Bank,11933.72,8117.21,1
T00069,2025-05-28,Stellenbosch,K0190,Meubels,Bed,8120.46,5739.78,1
T00070,2025-09-05,Worcester,K0200,Meubels,Eetstel,22389.73,15970.56,1
T00071,2025-07-06,Worcester,K0158,Meubels,Kas,5711.46,4060.11,1
T00072,2024-08-14,Worcester,K0008,Toestelle,Mikrogolf,2650.77,1734.43,1
T00073,2024-09-01,Paarl,K0126,Toestelle,Mikrogolf,3071.41,2052.54,1
T00074,2025-09-28,Stellenbosch,K0017,Meubels,Bed,9503.87,6608.19,1
T00075,2024-11-07,Paarl,K0136,Toestelle,Mikrogolf,3201.4,2113.61,3
T00076,2025-04-28,Paarl,K0030,Toestelle,Yskas,6196.3,4235.6,1
T00077,2025-02-06,Paarl,K0117,Toestelle,Wasmajien,5514.2,3835.63,1
T00078,2025-08-13,Paarl,K0171,Meubels,Bed,6867.4,4786.03,1
T00079,2025-03-19,Paarl,K0022,Meubels,Kas,3674.0,2481.07,1
T00080,2024-10-04,Paarl,K0143,Meubels,Bed,8137.13,5490.05,1
T00081,2024-08-31,Worcester,K0171,Toestelle,Yskas,7161.15,4557.5,1
T00082,2025-09-07,Worcester,K0091,Meubels,Bed,11099.87,7980.18,1
T00083,2024-10-15,Worcester,K0058,Meubels,Bank,10041.87,6473.78,1
T00084,2024-10-19,Paarl,K0147,Toestelle,Yskas,8355.88,5402.69,1
T00085,2025-02-17,Paarl,K0178,Meubels,Lessenaar,5313.52,3531.01,2
T00086,2025-03-31,Stellenbosch,K0080,Meubels,Bed,5538.27,3759.95,1
T00087,2025-06-13,Paarl,K0145,Meubels,Bank,7981.29,5659.16,2
T00088,2025-08-15,Stellenbosch,K0136,Meubels,Eetstel,15553.9,10649.24,1
T00089,2025-02-06,Paarl,K0095,Toestelle,Mikrogolf,2629.94,1797.99,1
T00090,2025-05-16,Worcester,K0014,Toestelle,Droër,7438.19,5168.95,1
T00091,2024-12-07,Stellenbosch,K0170,Meubels,Eetstel,16565.82,10833.4,1
T00092,2025-09-08,Paarl,K0194,Toestelle,Mikrogolf,2648.49,1836.07,1
T00093,2025-12-07,Stellenbosch,K0174,Toestelle,Mikrogolf,2159.99,1576.03,1
T00094,2025-11-11,Worcester,K0154,Toestelle,Yskas,9464.51,6589.95,1
T00095,2024-08-26,Stellenbosch,K0197,Meubels,Bed,8586.14,5784.37,2
T00096,2024-11-18,Paarl,K0128,Toestelle,Stoof,7214.17,4899.31,1
T00097,2025-09-14,Stellenbosch,K0059,Meubels,Kas,8798.66,6144.69,1
T00098,2025-11-25,Worcester,K0190,Toestelle,Yskas,9947.67,7194.66,1
T00099,2024-08-13,Paarl,K0081,Meubels,Kas,4537.98,2999.03,2
T00100,2025-09-13,Worcester,K0104,Toestelle,Mikrogolf,2893.54,2009.81,1
T00101,2024-07-22,Paarl,K0177,Meubels,Lessenaar,5463.38,3516.75,1
T00102,2025-07-06,Stellenbosch,K0151,Toestelle,Yskas,9825.56,6818.29,1
T00103,2025-08-15,Worcester,K0191,Meubels,Kas,5631.92,3998.37,2
T00104,2025-06-13,Stellenbosch,K0163,Toestelle,Wasmajien,5869.4,4126.29,1
T00105,2024-10-25,Worcester,K0166,Meubels,Bed,7845.8,5068.27,1
T00106,2024-11-29,Stellenbosch,K0045,Meubels,Bank,12852.88,8486.89,1
T00107,2024-12-04,Worcester,K0161,Meubels,Bank,12032.5,8018.08,3
T00108,2025-11-18,Paarl,K0160,Toestelle,Droër,8244.24,5874.2,1
T00109,2025-05-27,Worcester,K0121,Toestelle,Wasmajien,7938.5,5538.36,1
T00110,2025-09-26,Worcester,K0091,Toestelle,Stoof,6957.12,5033.28,1
T00111,2025-12-02,Stellenbosch,K0015,Toestelle,Mikrogolf,1964.55,1372.23,1
T00112,2025-07-13,Paarl,K0130,Meubels,Eetstel,16447.42,11159.73,1
T00114,2025-01-09,Paarl,K0016,Toestelle,Droër,7356.8,4827.54,1
T00115,2025-10-05,Stellenbosch,K0045,Toestelle,Yskas,9946.48,6860.96,1
T00116,2024-08-10,Stellenbosch,K0157,Toestelle,Mikrogolf,2463.59,1576.12,1
T00117,2024-12-10,Paarl,K0199,Toestelle,Stoof,6975.77,4571.91,1
T00118,2025-06-12,Worcester,K0025,Meubels,Bed,4970.31,3479.72,1
T00119,2025-07-31,Paarl,K0086,Toestelle,Droër,6756.91,4589.43,2
T00120,2024-09-22,Worcester,K0168,Meubels,Bed,5508.52,3580.19,1
T00121,2025-08-06,Stellenbosch,K0165,Meubels,Bed,6232.29,4337.39,1
T00122,2025-06-02,Stellenbosch,K0005,Meubels,Kas,6230.59,4194.28,1
T00123,2025-07-07,Paarl,K0197,Meubels,Bank,12145.52,8278.04,1
T00124,2025-11-10,Stellenbosch,K0076,Meubels,Bank,9142.57,6423.49,1
T00125,2024-10-12,Worcester,K0159,Meubels,Bed,10166.1,6783.71,2
T00126,2024-11-12,Worcester,K0178,Toestelle,Wasmajien,8580.7,5781.78,1
T00127,2024-12-17,Worcester,K0174,Toestelle,Yskas,10030.07,6567.3,1
T00128,2025-03-01,Paarl,K0062,Toestelle,Mikrogolf,2756.89,1832.18,1
T00129,2025-05-13,Paarl,K0147,Meubels,Bed,9030.1,6112.99,1
T00130,2025-09-25,Paarl,K0108,Toestelle,Mikrogolf,4426.37,3091.58,1
T00131,2024-12-13,Stellenbosch,K0124,Meubels,Bed,9908.0,6478.29,1
T00132,2025-07-16,Worcester,K0073,Meubels,Lessenaar,5151.39,3622.18,2
T00133,2024-09-24,Stellenbosch,K0038,Toestelle,Mikrogolf,2113.59,1383.65,2
T00135,2025-08-29,Stellenbosch,K0099,Toestelle,Droër,9277.59,6578.68,1
T00136,2024-09-22,Paarl,K0026,Meubels,Eetstel,9398.2,6147.78,1
T00137,2025-06-09,Stellenbosch,K0121,Meubels,Eetstel,13584.2,9613.48,1
T00138,2024-11-20,Worcester,K0021,Toestelle,Mikrogolf,3044.48,2023.56,1
T00139,2024-07-20,Paarl,K0187,Meubels,Bank,10211.74,6587.43,1
T00140,2025-12-23,Paarl,K0032,Meubels,Bed,9359.2,6857.46,1
T00141,2024-08-18,Stellenbosch,K0029,Toestelle,Droër,6554.69,4275.38,1
T00143,2024-11-25,Paarl,K0062,Toestelle,Yskas,4949.71,3235.87,1
T00144,2025-08-31,Stellenbosch,K0018,Meubels,Lessenaar,4686.45,3326.08,3
T00146,2025-08-01,Paarl,K0018,Toestelle,Yskas,8770.53,5981.93,1
T00147,2025-06-19,Stellenbosch,K0086,Meubels,Lessenaar,5004.99,3485.57,1
T00148,2024-11-14,Stellenbosch,K0165,Toestelle,Droër,7538.91,5116.08,1
T00149,2024-12-27,Worcester,K0035,Toestelle,Mikrogolf,2262.53,1510.18,1
T00150,2024-09-03,Worcester,K0012,Toestelle,Yskas,7693.34,4994.47,1
T00151,2025-01-21,Stellenbosch,K0140,Toestelle,Stoof,6230.41,4081.78,1
T00152,2025-10-28,Paarl,K0200,Meubels,Bank,14294.65,9989.35,1
T00154,2025-09-21,Paarl,K0048,Toestelle,Mikrogolf,3016.23,2155.2,1
T00155,2025-11-21,Worcester,K0133,Toestelle,Stoof,10780.44,7887.47,2
T00156,2025-03-31,Stellenbosch,K0047,Toestelle,Yskas,7584.66,5282.48,1
T00157,2025-04-27,Paarl,K0076,Meubels,Eetstel,16331.46,11203.92,1
T00158,2025-05-10,Paarl,K0090,Toestelle,Wasmajien,8161.95,5753.98,1
T00159,2025-10-01,Stellenbosch,K0071,Toestelle,Droër,2610.48,1883.21,3
T00160,2024-08-28,Stellenbosch,K0192,Toestelle,Stoof,6656.1,4369.96,1
T00161,2024-12-11,Stellenbosch,K0113,Meubels,Lessenaar,6132.41,4072.17,1
T00162,2024-08-05,Stellenbosch,K0094,Meubels,Bank,8424.65,5662.01,1
T00163,2025-07-06,Paarl,K0116,Meubels,Lessenaar,5941.27,4138.34,1
T00164,2025-07-15,Paarl,K0136,Toestelle,Yskas,6128.28,4181.98,1
T00165,2025-07-11,Paarl,K0030,Toestelle,Stoof,6733.28,4806.51,1
T00166,2024-07-27,Worcester,K0144,Meubels,Kas,6693.16,4312.42,1
T00168,2025-04-19,Worcester,K0019,Toestelle,Wasmajien,6422.03,4379.7,1
T00169,2025-10-06,Stellenbosch,K0082,Toestelle,Yskas,12172.03,8642.18,1
T00170,2025-06-21,Worcester,K0077,Meubels,Lessenaar,3262.18,2254.02,1
T00171,2024-12-09,Worcester,K0032,Meubels,Bed,7696.43,5010.35,1
T00172,2025-01-22,Stellenbosch,K0142,Meubels,Kas,6882.48,4522.61,1
T00174,2025-05-13,Paarl,K0105,Toestelle,Droër,5752.76,4004.67,1
T00175,2024-09-14,Stellenbosch,K0175,Toestelle,Yskas,7821.27,5264.12,1
T00176,2025-12-12,Paarl,K0047,Meubels,Lessenaar,5349.6,3788.81,1
T00177,2024-11-10,Paarl,K0078,Meubels,Eetstel,17698.8,11613.12,1
T00178,2024-12-16,Stellenbosch,K0133,Toestelle,Wasmajien,7460.95,4904.12,1
T00179,2025-04-17,Stellenbosch,K0142,Toestelle,Wasmajien,5756.51,3885.5,1
T00180,2025-04-08,Stellenbosch,K0129,Toestelle,Droër,5827.78,3920.5,1
T00181,2024-12-20,Worcester,K0185,Meubels,Bank,11947.75,8059.52,1
T00182,2025-06-11,Worcester,K0165,Meubels,Eetstel,15351.98,10465.77,1
T00183,2025-03-29,Worcester,K0164,Meubels,Lessenaar,5047.1,3365.28,1
T00184,2024-08-01,Paarl,K0176,Toestelle,Stoof,8136.05,5343.18,1
T00185,2025-08-20,Paarl,K0041,Toestelle,Yskas,10650.83,7630.58,1
T00186,2025-09-24,Paarl,K0156,Toestelle,Mikrogolf,2906.75,2000.84,1
T00187,2024-11-25,Paarl,K0034,Toestelle,Stoof,10849.86,7299.28,3
T00188,2025-07-15,Worcester,K0032,Meubels,Bed,8042.01,5475.37,1
T00189,2025-03-31,Paarl,K0075,Meubels,Bank,12810.42,8494.42,1
T00190,2025-07-29,Worcester,K0041,Toestelle,Wasmajien,6804.79,4720.68,3
T00191,2025-06-01,Worcester,K0128,Toestelle,Wasmajien,5772.67,4046.93,1
T00193,2025-08-07,Worcester,K0091,Toestelle,Wasmajien,8737.17,6018.97,1
T00194,2024-08-19,Stellenbosch,K0168,Toestelle,Mikrogolf,2895.83,1860.0,1
T00195,2025-10-25,Paarl,K0068,Meubels,Eetstel,14963.26,10863.79,1
T00196,2025-07-10,Paarl,K0146,Toestelle,Yskas,7205.49,5005.55,1
T00197,2025-01-16,Paarl,K0116,Toestelle,Yskas,10950.24,7438.46,1
T00198,2025-04-13,Worcester,K0101,Meubels,Bank,11632.36,8146.34,3
T00199,2025-07-18,Paarl,K0131,Toestelle,Wasmajien,7619.4,5272.15,1
T00200,2025-08-16,Worcester,K0183,Meubels,Eetstel,13308.83,9535.92,1
T00201,2025-06-07,Paarl,K0132,Toestelle,Wasmajien,7367.45,5229.91,1
T00202,2024-11-21,Paarl,K0158,Toestelle,Wasmajien,6239.59,4072.46,1
T00203,2025-05-03,Worcester,K0137,Toestelle,Droër,5934.75,4186.94,1
T00204,2025-11-14,Worcester,K0095,Toestelle,Mikrogolf,2616.02,1812.27,1
T00205,2025-06-05,Worcester,K0186,Meubels,Kas,3827.87,2603.97,1
T00206,2024-07-28,Worcester,K0199,Toestelle,Stoof,5966.57,3771.53,3
T00207,2025-02-19,Worcester,K0135,Meubels,Lessenaar,3781.56,2519.03,1
T00208,2025-07-25,Stellenbosch,K0180,Meubels,Eetstel,14359.66,9970.35,1
T00209,2024-10-21,Stellenbosch,K0039,Meubels,Kas,7286.49,4934.55,1
T00210,2025-08-27,Worcester,K0157,Meubels,Kas,5760.09,4036.96,1
T00211,2025-10-26,Worcester,K0144,Meubels,Bank,11953.72,8679.37,1
T00212,2025-05-29,Worcester,K0045,Toestelle,Droër,6153.61,4332.98,1
T00213,2025-10-14,Worcester,K0198,Toestelle,Droër,6887.26,4810.69,1
T00214,2025-03-28,Worcester,K0072,Toestelle,Wasmajien,5759.15,3903.42,3
T00215,2025-05-02,Stellenbosch,K0177,Toestelle,Stoof,8304.23,5791.87,1
T00216,2025-11-13,Paarl,K0185,Toestelle,Stoof,9223.08,6432.9,1
T00217,2025-04-07,Paarl,K0098,Meubels,Lessenaar,4724.09,3316.54,1
T00218,2025-08-09,Paarl,K0183,Meubels,Bed,8025.18,5604.8,1
T00219,2024-09-19,Paarl,K0055,Toestelle,Stoof,8544.12,5575.91,1
T00220,2025-01-23,Worcester,K0036,Toestelle,Droër,7097.6,4723.48,1
T00221,2024-10-20,Worcester,K0136,Meubels,Bank,17382.96,11443.1,1
T00222,2025-02-17,Worcester,K0085,Meubels,Eetstel,12697.96,8395.58,1
T00223,2025-10-27,Stellenbosch,K0041,Meubels,Eetstel,21569.41,15470.4,3
T00224,2025-08-21,Worcester,K0194,Toestelle,Mikrogolf,2095.85,1494.41,1
T00225,2025-04-21,Paarl,K0023,Toestelle,Yskas,4752.21,3239.36,2
T00226,2025-02-23,Worcester,K0046,Meubels,Bank,10685.61,7417.02,1
T00227,2024-08-07,Paarl,K0075,Toestelle,Wasmajien,7512.63,4969.67,2
T00228,2024-08-08,Stellenbosch,K0086,Toestelle,Droër,8751.41,5612.6,1
T00229,2025-04-18,Paarl,K0120,Toestelle,Wasmajien,5652.38,3778.97,2
T00230,2025-04-06,Stellenbosch,K0118,Meubels,Bed,8983.84,6038.02,1
T00231,2025-03-21,Worcester,K0076,Meubels,Eetstel,11039.3,7327.91,1
T00232,2025-01-14,Stellenbosch,K0023,Toestelle,Mikrogolf,3415.73,2249.91,1
T00233,2025-08-15,Worcester,K0123,Meubels,Bank,14948.6,10180.96,3
T00234,2025-05-28,Stellenbosch,K0115,Meubels,Bed,7061.65,4963.44,1
T00235,2025-03-31,Paarl,K0003,Toestelle,Droër,4444.24,2943.48,1
T00236,2025-03-25,Worcester,K0031,Toestelle,Wasmajien,9030.81,6027.4,1
T00237,2025-10-20,Paarl,K0181,Meubels,Kas,5828.19,4148.16,1
T00238,2025-05-15,Worcester,K0057,Meubels,Bed,10475.63,7311.5,1
T00239,2025-02-10,Stellenbosch,K0156,Toestelle,Wasmajien,7007.87,4670.48,1
T00240,2025-07-18,Paarl,K0056,Toestelle,Droër,6556.38,4450.97,1
T00241,2025-03-11,Worcester,K0181,Meubels,Lessenaar,4049.93,2766.47,1
T00242,2025-07-06,Stellenbosch,K0130,Meubels,Eetstel,16868.55,12001.98,1
T00243,2025-01-24,Worcester,K0134,Meubels,Bank,12300.74,8416.01,1
T00244,2025-09-26,Stellenbosch,K0131,Meubels,Lessenaar,5014.44,3497.95,1
T00245,2025-09-30,Stellenbosch,K0117,Toestelle,Wasmajien,4698.83,3382.7,1
T00246,2024-08-29,Worcester,K0102,Toestelle,Stoof,10799.82,6987.76,1
T00248,2025-06-18,Worcester,K0018,Meubels,Lessenaar,4615.67,3132.61,3
T00249,2025-10-27,Stellenbosch,K0035,Toestelle,Mikrogolf,3530.37,2447.49,1
