transaksie_id,datum,winkel_naam,klient_id,produk_kategorie,produk,verkoopsprys,kosprys,hoeveelheid,verkoopsprys_genormaliseer,kosprys_genormaliseer,hoeveelheid_gestandaardiseer,totale_inkomste,log_totale_inkomste,tipe_Bed,tipe_Droër,tipe_Eetstel,tipe_Kas,tipe_Lessenaar,tipe_Mikrogolf,tipe_Stoof,tipe_Wasmajien,tipe_Yskas,jaar,maand,kwartaal,dag_van_week,winsmarge,bruto_wins,maand_naam,is_naweek,seisoen,verkope_kategorie,winsmarge_kategorie,markup_pct,bydrae_marge,wins_opslag_pct,jaar_maand
T00001,2024-09-15,Stellenbosch,K0153,Meubels,Kas,6745.07,4374.17,1,0.2548494186794187,0.2297234643476782,-0.4123517295081363,6745.07,8.816715392087179,False,False,False,True,False,False,False,False,False,2024,9,3,6,35.150117048451676,2370.8999999999996,September,True,Lente,Medium,Goed,54.20228294739344,2320.8999999999996,54.20228294739344,2024-09
T00002,2025-10-25,Paarl,K0073,Meubels,Bank,11654.34,8209.16,1,0.4886765133148848,0.4844581543211352,-0.4123517295081363,11654.34,9.363519723073534,False,False,False,False,False,False,False,False,False,2025,10,4,5,29.56134796136032,3445.1800000000003,October,True,Lente,Medium,Gemiddeld,41.96750946503662,3395.1800000000003,41.96750946503662,2025-10
T00003,2025-10-08,Stellenbosch,K0161,Meubels,Bed,7531.69,5468.08,1,0.2923158992726943,0.3023851465708038,-0.4123517295081363,7531.69,8.927007494715543,True,False,False,False,False,False,False,False,False,2025,10,4,2,27.39902996538625,2063.6099999999997,October,False,Lente,Medium,Gemiddeld,37.73920644906438,2013.6099999999997,37.73920644906438,2025-10
T00004,2025-01-19,Paarl,K0039,Meubels,Lessenaar,4265.86,2809.87,1,0.1367653712973855,0.1258166808813643,-0.4123517295081363,4265.86,8.358633472713018,False,False,False,False,True,False,False,False,False,2025,1,1,6,34.131218558508714,1455.9899999999998,January,True,Somer,Laag,Goed,51.81698797453262,1405.9899999999998,51.81698797453262,2025-01
T00005,2025-03-30,Stellenbosch,K0079,Meubels,Eetstel,19737.64,13822.03,1,0.8736817287678671,0.8572864274877714,-0.4123517295081363,19737.64,9.890333414970694,False,False,True,False,False,False,False,False,False,2025,3,1,6,29.97121236378817,5915.609999999999,March,True,Herfs,Hoog,Gemiddeld,42.79841673039343,5865.609999999999,42.79841673039343,2025-03
T00006,2025-04-22,Paarl,K0180,Meubels,Kas,7151.15,4764.12,1,0.2741908903421242,0.2556254334154332,-0.4123517295081363,7151.15,8.875168289787778,False,False,False,True,False,False,False,False,False,2025,4,2,1,33.379666207533056,2387.0299999999997,April,False,Herfs,Medium,Goed,50.10432146965231,2337.0299999999997,50.10432146965231,2025-04
T00007,2025-08-17,Paarl,K0011,Toestelle,Mikrogolf,2265.26,1615.77,1,0.0414773782703748,0.0464999960145707,-0.4123517295081363,2265.26,7.725886174635167,False,False,False,False,False,True,False,False,False,2025,8,3,6,28.671763947626328,649.4900000000002,August,True,Winter,Laag,Gemiddeld,40.196933969562515,599.4900000000002,40.196933969562515,2025-08
T00008,2025-09-16,Worcester,K0024,Toestelle,Droër,7151.07,5128.09,1,0.2741870799655161,0.2798017116090241,-0.4123517295081363,7151.07,8.87515710427749,False,True,False,False,False,False,False,False,False,2025,9,3,1,28.289193085789954,2022.9799999999996,September,False,Lente,Medium,Gemiddeld,39.44899562995188,1972.9799999999996,39.44899562995188,2025-09
T00009,2025-02-20,Worcester,K0196,Meubels,Bed,8483.92,5768.6,1,0.3376703357418089,0.3223468333107492,-0.4123517295081363,8483.92,9.046045749220816,True,False,False,False,False,False,False,False,False,2025,2,1,3,32.00548802911861,2715.3199999999997,February,False,Somer,Medium,Goed,47.070693062441485,2665.3199999999997,47.070693062441485,2025-02
T00010,2024-12-27,Paarl,K0150,Toestelle,Stoof,5056.1,3427.0,1,0.1744042714321777,0.1668088136439842,-0.4123517295081363,5056.1,8.528548475454372,False,False,False,False,False,False,True,False,False,2024,12,4,4,32.22048614544808,1629.1000000000004,December,False,Somer,Medium,Goed,47.53720455208638,1579.1000000000004,47.53720455208638,2024-12
T00011,2025-09-20,Worcester,K0105,Toestelle,Yskas,6974.34,4971.02,1,0.2657694817411516,0.2693685220168398,-0.4123517295081363,6974.34,8.850136351021256,False,False,False,False,False,False,False,False,True,2025,9,3,5,28.72415167600088,2003.3199999999997,September,True,Lente,Medium,Gemiddeld,40.29997867640846,1953.3199999999997,40.29997867640846,2025-09
T00012,2025-06-07,Paarl,K0178,Meubels,Bank,12785.62,8925.94,1,0.5425590489299987,0.5320694208639879,-0.4123517295081363,12785.62,9.456154590687568,False,False,False,False,False,False,False,False,False,2025,6,2,5,30.18766395372301,3859.6800000000003,June,True,Winter,Medium,Goed,43.24116003468542,3809.6800000000003,43.24116003468542,2025-06
